r_def,loc,mun,est,est_d,ageb,t_loc,cd_a,ent,con,upm,d_sem,n_pro_viv,v_sel,n_hog,h_mud,n_ent,per,n_ren,c_res,par_c,sex,eda,nac_dia,nac_mes,nac_anio,l_nac_c,cs_p12,cs_p13_1,cs_p13_2,cs_p14_c,cs_p15,cs_p16,cs_p17,n_hij,e_con,cs_ad_mot,cs_p20_des,cs_ad_des,cs_nr_mot,cs_p22_des,cs_nr_ori,ur,zona,salario,fac,clase1,clase2,clase3,pos_ocu,seg_soc,rama,c_ocu11c,ing7c,dur9c,emple7c,medica5c,buscar5c,rama_est1,rama_est2,dur_est,ambito1,ambito2,tue1,tue2,tue3,busqueda,d_ant_lab,d_cexp_est,dur_des,sub_o,s_clasifi,remune2c,pre_asa,tip_con,dispo,nodispo,c_inac5c,pnea_est,niv_ins,eda5c,eda7c,eda12c,eda19c,hij5c,domestico,anios_esc,hrsocup,ingocup,ing_x_hrs,tpg_p8a,tcco,cp_anoc,imssissste,ma48me1sm,p14apoyos,scian,t_tra,emp_ppal,tue_ppal,trans_ppal,mh_fil2,mh_col,sec_ins
0,1,87,40,821,0,1,81,30,5013,739,103,0,3,1,0,5,105,1,1,101,1,48,2,12,1956,30,1,8,2,5930, ,1,2,,5,,, ,,, ,2,3,1322,834,1,1,1,1,2,1,3,5,8,5,1,4,2,4,5,2,4,1,1,0,2,0,0,0,0,0,1,2,5,0,0,0,0,4,3,4,7,12,0,2,18,64,43000,156.25,0,0,0,4,0,2,4,1,1,2,0,3,1,2
0,1,87,31,818,0,1,81,30,5014,316,103,0,2,1,0,5,105,2,1,201,2,57,2,7,1947,30,1,2,6,, , ,2,5,5,,, ,,, ,2,3,1322,1791,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,2,3,5,9,14,3,8,6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,1,87,10,814,0,1,81,30,5015,288,103,0,4,1,0,5,105,2,1,202,2,37,31,5,1967,30,1,2,2,, , ,2,2,1,,, ,,, ,2,3,1322,391,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,2,3,5,10,2,8,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,1,87,21,815,0,1,81,30,5020,82,201,0,4,1,0,4,105,4,1,301,2,14,17,7,1990,30,1,3,2,, , ,1,0,6,,, ,,, ,2,3,1322,958,1,1,1,4,2,2,5,6,3,2,1,4,2,3,3,2,2,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,2,8,15,0,0,0,0,0,4,0,2,5,1,1,1,0,1,9,8
0,1,87,22,816,0,1,81,30,5021,692,201,0,1,1,0,4,105,2,1,202,2,28,22,2,1976,21,1,3,3,, , ,2,2,1,,, ,,, ,2,3,1322,635,1,1,1,4,2,3,6,6,3,2,1,2,3,5,3,2,3,3,5,0,2,0,0,0,1,5,0,0,0,0,0,0,0,3,2,2,3,8,2,3,9,24,0,0,1,0,0,4,0,2,7,1,1,1,0,1,9,8
0,1,87,22,816,0,1,81,30,5021,692,201,0,5,1,0,4,105,1,1,101,1,55,24,6,1949,30,1,2,6,, , ,2,,5,,, ,,, ,2,3,1322,635,1,1,1,1,1,3,3,7,5,6,3,4,3,5,4,2,5,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,2,3,5,9,14,0,3,6,36,0,0,0,0,0,3,0,2,6,1,2,2,0,3,2,2
0,1,87,23,817,0,1,81,30,5040,361,301,137,5,1,0,3,105,3,1,301,2,5,4,5,1999,30,2,1,1,, , ,1,, ,,, ,,, ,2,3,1322,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,87,22,816,0,1,81,30,5063,109,402,131,3,1,0,2,105,9,1,608,1,6,22,11,1998,30,1,1,1,, , ,1,, ,,, ,,, ,2,3,1322,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,87,22,816,0,1,81,30,5063,109,402,218,5,1,0,2,105,1,1,101,1,54,13,11,1950,21,1,3,3,, , ,2,,5,,, ,,, ,2,3,1322,881,1,1,1,3,2,3,6,2,8,2,1,4,3,5,5,2,3,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,13,0,1,9,84,2400,6.64452,0,3,1,4,0,2,7,1,1,1,0,1,7,8
0,1,87,23,817,0,1,81,30,5066,244,402,89,3,1,0,2,105,3,1,601,1,81,2,2,1924,30,2,0,0,, , ,2,,1,,, ,,, ,2,3,1322,713,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,1,4,6,11,18,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,1,87,23,817,0,1,81,30,5066,244,402,118,4,1,0,2,105,3,1,301,1,12,26,8,1992,30,1,2,6,, , ,1,,6,,, ,,, ,2,3,1322,713,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,0,0,0,5,0,7,6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,1,87,23,817,0,1,81,30,5073,472,403,55,3,1,0,2,105,1,1,101,1,49,22,5,1955,30,1,2,6,, , ,2,,5,,, ,,, ,2,3,1322,742,1,1,1,1,1,4,8,2,6,6,3,4,3,9,4,2,5,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,2,3,4,7,12,0,3,6,40,2400,13.95349,0,0,0,3,0,2,15,1,2,2,0,3,2,7
0,1,87,32,819,0,1,81,30,5078,817,501,17,1,1,0,1,105,1,1,101,1,46,27,7,1958,21,1,8,2,5410, ,1,2,,5,,, ,,, ,2,3,1322,561,1,1,1,1,2,4,3,5,6,6,4,4,3,11,4,2,7,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,4,3,4,7,12,0,1,18,45,20000,103.35917,0,0,0,4,0,2,20,1,1,2,0,3,1,5
0,1,87,32,819,0,1,81,30,5078,817,501,116,4,1,0,1,105,3,1,301,2,39,29,10,1965,30,1,3,3,, , ,2,0,6,,, ,,, ,2,3,1322,561,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,2,3,5,10,1,8,9,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,1,87,22,816,0,1,81,30,5080,388,501,54,3,1,0,1,105,1,1,101,1,60,14,12,1944,30,1,4,3,, , ,2,,5,,, ,,, ,2,3,1322,762,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,3,6,10,15,0,10,12,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,1,87,33,820,0,1,81,30,5081,575,501,105,5,1,0,1,105,1,1,101,1,48,26,9,1956,30,1,4,3,, , ,2,,1,,, ,,, ,2,3,1322,681,1,1,3,1,1,4,7,5,1,6,3,4,3,11,1,2,7,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,4,3,4,7,12,0,5,12,0,8000,0,0,0,0,1,0,2,20,1,2,2,0,3,2,5
0,1,87,40,821,0,1,81,30,5089,959,502,12,1,1,0,1,105,1,1,101,1,54,19,12,1950,28,1,7,4,3211,3,1,2,,2,,, ,,, ,2,3,1322,818,1,1,1,1,1,4,2,4,8,5,3,4,3,9,5,2,4,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,4,3,5,8,13,0,2,16,60,6000,23.25581,0,0,0,1,0,2,15,2,2,2,0,3,2,7
